# polyfill-versiondb 1
# from=0.4.5f2
# to=0.4.6f5
# counts=R:61 -:1281 ?:134
# op|kind|type|from|to|arity|origin|rule|confidence|note
R|F|ScheduleOne.AvatarFramework.Animation.AvatarLookController|NPC|_npc|0|derived|name-underscore|high|
R|F|ScheduleOne.Casino.RTBGameController|ANSWER_MAX_TIME|AnswerMaxTime|0|derived|name-screaming-snake|high|
R|F|ScheduleOne.Cutscenes.Cutscene|animation|_animation|0|derived|name-underscore|high|
R|F|ScheduleOne.Dialogue.DialogueHandler|activeDialogue|ActiveDialogue|0|derived|name-case|high|
R|F|ScheduleOne.Dialogue.DialogueHandler|activeDialogueNode|ActiveDialogueNode|0|derived|name-case|high|
R|P|ScheduleOne.Dialogue.DialogueHandler|runtimeModules|RuntimeModules|0|derived|name-case|high|
R|F|ScheduleOne.Economy.Supplier|DEADDROP_ITEM_LIMIT|DeaddropItemLimit|0|derived|name-screaming-snake|high|
R|F|ScheduleOne.Economy.Supplier|DEADDROP_MAX_WAIT|DeaddropMaxWait|0|derived|name-screaming-snake|high|
R|F|ScheduleOne.Economy.Supplier|DEADDROP_WAIT_PER_ITEM|DeaddropWaitPerItem|0|derived|name-screaming-snake|high|
R|F|ScheduleOne.Economy.Supplier|DELIVERY_RELATIONSHIP_REQUIREMENT|DeliveryRelationshipRequirement|0|derived|name-screaming-snake|high|
R|F|ScheduleOne.Economy.Supplier|MEETUP_RELATIONSHIP_REQUIREMENT|MeetupRelationshipRequirement|0|derived|name-screaming-snake|high|
R|P|ScheduleOne.Economy.Supplier|SyncAccessor_deadDropPreparing|SyncAccessor__deadDropPreparing|0|derived|name-screaming-snake|high|
R|P|ScheduleOne.Economy.Supplier|SyncAccessor_debt|SyncAccessor__debt|0|derived|name-screaming-snake|high|
R|F|ScheduleOne.Economy.Supplier|currentLocation|_currentLocation|0|derived|name-underscore|high|
R|F|ScheduleOne.Economy.Supplier|deadDropPreparing|_deadDropPreparing|0|derived|name-underscore|high|
R|F|ScheduleOne.Economy.Supplier|deaddropItems|_deaddropItems|0|derived|name-underscore|high|
R|F|ScheduleOne.Economy.Supplier|debt|_debt|0|derived|name-underscore|high|
R|F|ScheduleOne.Economy.Supplier|minsSinceDeaddropOrder|_minsSinceDeaddropOrder|0|derived|name-underscore|high|
R|F|ScheduleOne.Economy.Supplier|minsSinceLastMeetingEnd|_minsSinceLastMeetingEnd|0|derived|name-underscore|high|
R|F|ScheduleOne.Economy.Supplier|minsSinceMeetingStart|_minsSinceMeetingStart|0|derived|name-underscore|high|
R|P|ScheduleOne.Economy.Supplier|minsUntilDeaddropReady|MinsUntilDeaddropReady|0|derived|name-case|high|
R|F|ScheduleOne.Economy.Supplier|playerSpendSinceMeetingStart|_playerSpendSinceMeetingStart|0|derived|name-underscore|high|
R|F|ScheduleOne.Economy.Supplier|repaymentReminderSent|_repaymentReminderSent|0|derived|name-underscore|high|
R|F|ScheduleOne.Economy.Supplier|syncVar___deadDropPreparing|syncVar____deadDropPreparing|0|derived|name-weaver|high|
R|F|ScheduleOne.Economy.Supplier|syncVar___debt|syncVar____debt|0|derived|name-weaver|high|
R|F|ScheduleOne.Money.ATM|CashSpawnPoint|cashSpawnPoint|0|derived|name-case|high|
R|F|ScheduleOne.Money.ATM|Damageable|damageable|0|derived|name-case|high|
R|F|ScheduleOne.Money.ATM|WEEKLY_DEPOSIT_LIMIT|WeeklyDepositLimit|0|derived|name-screaming-snake|high|
R|F|ScheduleOne.NPCs.NPC|OutlineEffect|_outlineEffect|0|derived|name-underscore|high|
R|F|ScheduleOne.NPCs.NPC|OutlineRenderers|_outlineRenderers|0|derived|name-underscore|high|
R|P|ScheduleOne.NPCs.NPC|fullName|FullName|0|derived|name-case|high|
R|F|ScheduleOne.NPCs.NPCInventory|npc|_npc|0|derived|name-underscore|high|
R|F|ScheduleOne.NPCs.NPCInventory|timeOnLastExpire|_timeOnLastExpire|0|derived|name-underscore|high|
R|F|ScheduleOne.Networking.Lobby|PLAYER_LIMIT|PlayerLimit|0|derived|name-screaming-snake|high|
R|F|ScheduleOne.PlayerScripts.Health.PlayerHealth|HEALTH_RECOVERY_PER_MINUTE|HealthRecoveryPerMinute|0|derived|name-screaming-snake|high|
R|F|ScheduleOne.PlayerScripts.Health.PlayerHealth|MAX_HEALTH|MaxHealth|0|derived|name-screaming-snake|high|
R|M|ScheduleOne.PlayerScripts.Player|RpcReader___Server_SendPlayerNameData_586648380|RpcReader___Server_SendPlayerNameData_1988918489|3|derived|rpc-hash|high|
R|P|ScheduleOne.PlayerScripts.PlayerCamera|activeUIElementCount|ActiveUIElementCount|0|derived|name-case|high|
R|P|ScheduleOne.PlayerScripts.PlayerCamera|canLook|CanLook|0|derived|name-case|high|
R|F|ScheduleOne.PlayerScripts.PlayerInventory|attachedScreen|AttachedScreen|0|derived|name-case|high|
R|F|ScheduleOne.PlayerTasks.TaskManager|currentTask|CurrentTask|0|derived|name-case|high|
R|F|ScheduleOne.Polling.PollManager|receivedPollResponse|_receivedPollResponse|0|derived|name-underscore|high|
R|F|ScheduleOne.UI.CanvasScaler|canvasScaler|_canvasScaler|0|derived|name-underscore|high|
R|P|ScheduleOne.UI.ConsoleUI|IS_CONSOLE_ENABLED|IsConsoleEnabled|0|derived|name-screaming-snake|high|
R|F|ScheduleOne.UI.Handover.HandoverScreen|CustomerSlotUIs|_customerSlotUIs|0|derived|name-underscore|high|
R|F|ScheduleOne.UI.Handover.HandoverScreen|CustomerSlots|_customerSlots|0|derived|name-underscore|high|
R|F|ScheduleOne.UI.Handover.HandoverScreen|VehicleSlotUIs|_vehicleSlotUIs|0|derived|name-underscore|high|
R|F|ScheduleOne.UI.Handover.HandoverScreen|ignoreCustomerChangedEvents|_ignoreCustomerChangedEvents|0|derived|name-underscore|high|
R|F|ScheduleOne.UI.Handover.HandoverScreen|requireFullChanceOfSuccess|_requireFullChanceOfSuccess|0|derived|name-underscore|high|
R|F|ScheduleOne.UI.LaunderingInterface|CashStacks|cashStacks|0|derived|name-case|high|
R|P|ScheduleOne.UI.LaunderingInterface|business|Business|0|derived|name-case|high|
R|P|ScheduleOne.UI.LaunderingInterface|isOpen|IsOpen|0|derived|name-case|high|
R|F|ScheduleOne.UI.NewMixScreen|Container|container|0|derived|name-case|high|
R|F|ScheduleOne.UI.NewMixScreen|MarketValueLabel|marketValueLabel|0|derived|name-case|high|
R|F|ScheduleOne.UI.NewMixScreen|Sound|sound|0|derived|name-case|high|
R|F|ScheduleOne.UI.Phone.Messages.MessageBubble|height|Height|0|derived|name-case|high|
R|F|ScheduleOne.UI.Phone.Messages.MessageBubble|spacingAbove|SpacingAbove|0|derived|name-case|high|
R|F|ScheduleOne.VoiceOver.VOEmitter|audioSourceController|_audioSourceController|0|derived|name-underscore|high|
R|F|ScheduleOne.Weather.DayNightController|MoonShadowStrength|MOON_SHADOW_STRENGTH|0|derived|name-screaming-snake|high|
R|F|ScheduleOne.Weather.DayNightController|SunShadowStrength|SUN_SHADOW_STRENGTH|0|derived|name-screaming-snake|high|
R|M|ScheduleOne.Weather.WeatherVolume|RpcReader___Observers_Initialise_1999361799|RpcReader___Observers_Initialise_495303214|2|derived|rpc-hash|high|
-|P|ScheduleOne.Audio.AudioSettings|Id||0|derived|removed|high|
-|P|ScheduleOne.Audio.AudioSettings|Wrapper||0|derived|removed|high|
-|F|ScheduleOne.Audio.AudioSettings|_id||0|derived|removed|high|
-|F|ScheduleOne.Audio.AudioSettings|_settings||0|derived|removed|high|
-|F|ScheduleOne.Audio.AudioSettingsWrapper|AudioType||0|derived|removed|high|
-|F|ScheduleOne.Audio.AudioSettingsWrapper|LowPassCutoffFrequency||0|derived|removed|high|
-|F|ScheduleOne.Audio.AudioSettingsWrapper|MinMaxPitch||0|derived|removed|high|
-|F|ScheduleOne.Audio.AudioSettingsWrapper|PitchMultiplier||0|derived|removed|high|
-|F|ScheduleOne.Audio.AudioSettingsWrapper|RandomizePitch||0|derived|removed|high|
-|F|ScheduleOne.Audio.AudioSettingsWrapper|Volume||0|derived|removed|high|
-|F|ScheduleOne.Audio.AudioSettingsWrapper|VolumeMultiplier||0|derived|removed|high|
-|M|ScheduleOne.Audio.AudioSourceController|ApplyAudioSettings||1|derived|removed|high|
-|V|ScheduleOne.Audio.EAudioType|Ambient||0|derived|removed|high|
-|V|ScheduleOne.Audio.EAudioType|FX||0|derived|removed|high|
-|V|ScheduleOne.Audio.EAudioType|Footsteps||0|derived|removed|high|
-|V|ScheduleOne.Audio.EAudioType|Music||0|derived|removed|high|
-|V|ScheduleOne.Audio.EAudioType|UI||0|derived|removed|high|
-|V|ScheduleOne.Audio.EAudioType|Voice||0|derived|removed|high|
-|V|ScheduleOne.Audio.EAudioType|Weather||0|derived|removed|high|
-|M|ScheduleOne.Audio.SFXManager|PlayFootstepSound||3|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|AnimationRangeSqr||0|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Animation.AvatarLookController|GetNearestPlayer||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarLookController|lastFrameLookOriginForward||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarLookController|lastFrameLookOriginPos||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Avatar|InitialAvatarSettings||0|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Avatar|Load||0|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Avatar|LoadNaked||0|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Avatar|SetRagdollPhysicsEnabled||2|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Avatar|SettingsToLoad||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Customization.CharacterCreator|DemoCreator||0|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Customization.CharacterCreator|Open||2|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Customization.CharacterCreator|ShowUI||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Impostors.AvatarImpostor|AnchorBone||0|derived|removed|high|
-|P|ScheduleOne.AvatarFramework.Impostors.AvatarImpostor|Camera||0|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Impostors.AvatarImpostor|Realign||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Impostors.AvatarImpostor|anchorBoneOffset||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Impostors.AvatarImpostor|cachedCamera||0|derived|removed|high|
-|F|ScheduleOne.Casino.BlackjackGameController|BET_MAXIMUM||0|derived|removed|high|
-|F|ScheduleOne.Casino.BlackjackGameController|BET_MINIMUM||0|derived|removed|high|
-|F|ScheduleOne.Casino.BlackjackGameController|BLACKJACK_PAYOUT_RATIO||0|derived|removed|high|
-|P|ScheduleOne.Casino.BlackjackGameController|LocalPlayerBet||0|derived|removed|high|
-|F|ScheduleOne.Casino.BlackjackGameController|PAYOUT_RATIO||0|derived|removed|high|
-|M|ScheduleOne.Casino.BlackjackGameController|SetLocalPlayerBet||1|derived|removed|high|
-|F|ScheduleOne.Casino.BlackjackGameController|onLocalPlayerBetChange||0|derived|removed|high|
-|F|ScheduleOne.Casino.RTBGameController|BET_MAXIMUM||0|derived|removed|high|
-|F|ScheduleOne.Casino.RTBGameController|BET_MINIMUM||0|derived|removed|high|
-|P|ScheduleOne.Casino.RTBGameController|LocalPlayerBet||0|derived|removed|high|
-|M|ScheduleOne.Casino.RTBGameController|SetLocalPlayerBet||1|derived|removed|high|
-|F|ScheduleOne.Casino.RTBGameController|onLocalPlayerBetChange||0|derived|removed|high|
-|F|ScheduleOne.Casino.UI.BlackjackInterface|BetAmount||0|derived|removed|high|
-|F|ScheduleOne.Casino.UI.BlackjackInterface|BetContainer||0|derived|removed|high|
-|F|ScheduleOne.Casino.UI.BlackjackInterface|BetSlider||0|derived|removed|high|
-|M|ScheduleOne.Casino.UI.BlackjackInterface|BetSliderChanged||1|derived|removed|high|
-|F|ScheduleOne.Casino.UI.BlackjackInterface|BetTitleLabel||0|derived|removed|high|
-|M|ScheduleOne.Casino.UI.BlackjackInterface|GetBetFromSliderValue||1|derived|removed|high|
-|F|ScheduleOne.Casino.UI.BlackjackInterface|ReadyButton||0|derived|removed|high|
-|F|ScheduleOne.Casino.UI.BlackjackInterface|ReadyLabel||0|derived|removed|high|
-|M|ScheduleOne.Casino.UI.BlackjackInterface|RefreshDisplayedBet||0|derived|removed|high|
-|M|ScheduleOne.Casino.UI.BlackjackInterface|RefreshReadyButton||0|derived|removed|high|
-|F|ScheduleOne.Casino.UI.RTBInterface|BetAmount||0|derived|removed|high|
-|F|ScheduleOne.Casino.UI.RTBInterface|BetContainer||0|derived|removed|high|
-|F|ScheduleOne.Casino.UI.RTBInterface|BetSlider||0|derived|removed|high|
-|M|ScheduleOne.Casino.UI.RTBInterface|BetSliderChanged||1|derived|removed|high|
-|F|ScheduleOne.Casino.UI.RTBInterface|BetTitleLabel||0|derived|removed|high|
-|M|ScheduleOne.Casino.UI.RTBInterface|GetBetFromSliderValue||1|derived|removed|high|
-|F|ScheduleOne.Casino.UI.RTBInterface|QuestionContainer||0|derived|removed|high|
-|F|ScheduleOne.Casino.UI.RTBInterface|ReadyButton||0|derived|removed|high|
-|F|ScheduleOne.Casino.UI.RTBInterface|ReadyLabel||0|derived|removed|high|
-|M|ScheduleOne.Casino.UI.RTBInterface|RefreshDisplayedBet||0|derived|removed|high|
-|M|ScheduleOne.Casino.UI.RTBInterface|RefreshReadyButton||0|derived|removed|high|
-|F|ScheduleOne.Combat.CombatBehaviour|DefaultWeapon||0|derived|removed|high|
-|P|ScheduleOne.Console.SetEnergy|CommandDescription||0|derived|removed|high|
-|P|ScheduleOne.Console.SetEnergy|CommandWord||0|derived|removed|high|
-|P|ScheduleOne.Console.SetEnergy|ExampleUsage||0|derived|removed|high|
-|M|ScheduleOne.Console.SetEnergy|Execute||1|derived|removed|high|
-|P|ScheduleOne.Console.SetWeatherSpeed|CommandDescription||0|derived|removed|high|
-|P|ScheduleOne.Console.SetWeatherSpeed|CommandWord||0|derived|removed|high|
-|P|ScheduleOne.Console.SetWeatherSpeed|ExampleUsage||0|derived|removed|high|
-|M|ScheduleOne.Console.SetWeatherSpeed|Execute||1|derived|removed|high|
-|F|ScheduleOne.Cutscenes.Cutscene|DisablePlayerControl||0|derived|removed|high|
-|F|ScheduleOne.Cutscenes.IntroManager|SKIP_TIME||0|derived|removed|high|
-|M|ScheduleOne.DevUtilities.ExitAction|Use||0|derived|removed|high|
-|P|ScheduleOne.DevUtilities.ExitAction|Used||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.ExitAction|exitType||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.ExitAction|used||0|derived|removed|high|
-|V|ScheduleOne.DevUtilities.ExitType|Escape||0|derived|removed|high|
-|V|ScheduleOne.DevUtilities.ExitType|RightClick||0|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|BetweenValues||5|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|ClosestPointOnPlane||2|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|ClosestPointOnPlane||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|ClosestPointOnQuad||6|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|ClosestPointOnSegment||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|ClosestPointOnSegment||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|CreatePlaneFromPoints||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|GetNormalizedPositionAlongSegment||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|GetNormalizedPositionAlongSegment||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|GetWrappedIndex||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|InverseDistance01||4|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|InverseDistance01||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|LogLerp||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|NearlyEqual||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|Normalise||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|PointInsideCube||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|PointInsideRectangle||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.MathUtility|SqrDistance||2|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OptimizedLight|_lensFlare||0|derived|removed|high|
-|M|ScheduleOne.DevUtilities.OrbitCamera|ClampAngle||3|derived|removed|high|
-|M|ScheduleOne.DevUtilities.OrbitCamera|Disable||0|derived|removed|high|
-|M|ScheduleOne.DevUtilities.OrbitCamera|Enable||0|derived|removed|high|
-|M|ScheduleOne.DevUtilities.OrbitCamera|FinalizeCameraMovement||0|derived|removed|high|
-|M|ScheduleOne.DevUtilities.OrbitCamera|UpdateRotation||0|derived|removed|high|
-|P|ScheduleOne.DevUtilities.OrbitCamera|cam||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|cameraStartPoint||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|centrePoint||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|distance||0|derived|removed|high|
-|P|ScheduleOne.DevUtilities.OrbitCamera|isEnabled||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|prevDistance||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|rotationOriginPoint||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|targetFollowSpeed||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|targetTransform||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|x||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|xSpeed||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|y||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|yMaxLimit||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|yMinLimit||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.OrbitCamera|ySpeed||0|derived|removed|high|
-|M|ScheduleOne.DevUtilities.PlayerUtilities|CloseMenu||2|derived|removed|high|
-|M|ScheduleOne.DevUtilities.PlayerUtilities|OpenMenu||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.Settings|onDisplaySettingsApplied||0|derived|removed|high|
-|F|ScheduleOne.DevUtilities.WeatherProfileCreator|_mat||0|derived|removed|high|
-|F|ScheduleOne.Dialogue.DialogueHandler|VOEmitter||0|derived|removed|high|
-|F|ScheduleOne.Dialogue.DialogueHandler|overrideText||0|derived|removed|high|
-|F|ScheduleOne.Doors.DoorSensor|ActivationDistance||0|derived|removed|high|
